"","NATIVITY","BPLD","YEAR","WARD","SEX","NFAMS","AGE","OCC","NATIVITY_MOM","BIRTHPLACE","Nativity_Type","age_classified"
"128",2,2500,1910,1,"female",1,9,999,NA,"Massachusetts","Native born, and father foreign, mother native","(0,10]"
"129",1,3900,1910,1,"male",1,37,829,NA,"Ohio","Native born, and both parents native born","(30,40]"
"130",1,2300,1910,1,"female",1,23,999,NA,"Maine","Native born, and both parents native born","(20,30]"
"131",1,2300,1910,1,"male",1,7,999,1,"Maine","Native born, and both parents native born","(0,10]"
"132",1,2500,1910,1,"male",1,5,999,1,"Massachusetts","Native born, and both parents native born","(0,10]"
"133",1,2300,1910,1,"female",1,19,999,NA,"Maine","Native born, and both parents native born","(10,20]"
"134",5,15000,1910,1,"male",1,26,30,NA,"Canada","Foreign born","(20,30]"
"135",5,15000,1910,1,"female",1,26,999,NA,"Canada","Foreign born","(20,30]"
"136",4,2500,1910,1,"female",1,0,999,5,"Massachusetts","Native born, and both parents foreign",NA
"137",5,15000,1910,1,"female",1,19,576,NA,"Canada","Foreign born","(10,20]"
"138",5,15000,1910,1,"male",1,16,112,NA,"Canada","Foreign born","(10,20]"
"139",5,15000,1910,1,"female",1,14,999,NA,"Canada","Foreign born","(10,20]"
"140",5,15000,1910,1,"male",1,33,176,NA,"Canada","Foreign born","(30,40]"
"141",2,2500,1910,1,"female",1,33,999,NA,"Massachusetts","Native born, and father foreign, mother native","(30,40]"
"142",2,2500,1910,1,"male",1,5,999,2,"Massachusetts","Native born, and father foreign, mother native","(0,10]"
"143",2,2500,1910,1,"male",1,3,999,2,"Massachusetts","Native born, and father foreign, mother native","(0,10]"
"144",2,2500,1910,1,"male",1,1,999,2,"Massachusetts","Native born, and father foreign, mother native","(0,10]"
"145",5,43400,1910,1,"male",1,28,578,NA,"Italy","Foreign born","(20,30]"
"146",5,41400,1910,1,"male",1,38,743,NA,"Ireland","Foreign born","(30,40]"
"147",5,41400,1910,1,"female",1,32,999,NA,"Ireland","Foreign born","(30,40]"
"148",4,2500,1910,1,"male",1,9,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"149",4,3600,1910,1,"female",1,7,999,5,"New York","Native born, and both parents foreign","(0,10]"
"150",4,2500,1910,1,"male",1,2,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"151",5,43600,1910,1,"male",1,42,900,NA,"Portugal","Foreign born","(40,50]"
"152",5,43600,1910,1,"female",1,47,999,NA,"Portugal","Foreign born","(40,50]"
"153",5,43600,1910,1,"female",1,20,999,5,"Portugal","Foreign born","(10,20]"
"154",5,43600,1910,1,"female",1,17,999,5,"Portugal","Foreign born","(10,20]"
"155",4,2500,1910,1,"male",1,22,158,NA,"Massachusetts","Native born, and both parents foreign","(20,30]"
"156",4,2500,1910,1,"female",1,22,999,NA,"Massachusetts","Native born, and both parents foreign","(20,30]"
"157",1,2500,1910,1,"female",1,0,999,4,"Massachusetts","Native born, and both parents native born",NA
"158",4,2500,1910,1,"female",1,19,960,NA,"Massachusetts","Native born, and both parents foreign","(10,20]"
"159",5,15000,1910,1,"male",1,36,176,NA,"Canada","Foreign born","(30,40]"
"160",5,15000,1910,1,"female",1,37,999,NA,"Canada","Foreign born","(30,40]"
"161",4,2500,1910,1,"male",1,12,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"162",4,2500,1910,1,"female",1,10,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"163",4,2500,1910,1,"male",1,3,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"164",4,2500,1910,1,"male",1,0,999,5,"Massachusetts","Native born, and both parents foreign",NA
"165",5,41000,1910,1,"male",1,50,868,NA,"England","Foreign born","(40,50]"
"166",5,15000,1910,1,"female",1,48,999,NA,"Canada","Foreign born","(40,50]"
"167",4,2500,1910,1,"male",1,27,394,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"168",4,2500,1910,1,"male",1,25,990,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"169",4,2500,1910,1,"male",1,21,791,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"170",4,2500,1910,1,"male",1,19,990,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"171",4,2500,1910,1,"male",1,13,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"172",5,41400,1910,1,"male",1,43,640,NA,"Ireland","Foreign born","(40,50]"
"173",4,2500,1910,1,"female",1,44,999,NA,"Massachusetts","Native born, and both parents foreign","(40,50]"
"174",2,2500,1910,1,"male",1,14,999,4,"Massachusetts","Native born, and father foreign, mother native","(10,20]"
"175",2,2500,1910,1,"male",1,11,999,4,"Massachusetts","Native born, and father foreign, mother native","(10,20]"
"176",2,2500,1910,1,"female",1,8,999,4,"Massachusetts","Native born, and father foreign, mother native","(0,10]"
"177",2,2500,1910,1,"female",1,6,999,4,"Massachusetts","Native born, and father foreign, mother native","(0,10]"
"178",5,41400,1910,1,"male",1,38,720,NA,"Ireland","Foreign born","(30,40]"
"179",5,41400,1910,1,"female",1,29,999,NA,"Ireland","Foreign born","(20,30]"
"180",4,2500,1910,1,"female",1,7,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"181",4,2500,1910,1,"female",1,4,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"182",4,2500,1910,1,"male",1,2,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"183",5,46500,1910,1,"male",1,42,592,NA,"Other USSR/Russia","Foreign born","(40,50]"
"184",5,46500,1910,1,"female",1,39,999,NA,"Other USSR/Russia","Foreign born","(30,40]"
"185",4,2500,1910,1,"male",1,17,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"186",5,15000,1910,1,"male",1,68,478,NA,"Canada","Foreign born","(60,70]"
"187",5,15000,1910,1,"female",1,67,999,NA,"Canada","Foreign born","(60,70]"
"188",4,2500,1910,1,"male",1,36,864,5,"Massachusetts","Native born, and both parents foreign","(30,40]"
"189",4,2500,1910,1,"female",1,33,382,5,"Massachusetts","Native born, and both parents foreign","(30,40]"
"190",4,2500,1910,1,"female",1,31,988,5,"Massachusetts","Native born, and both parents foreign","(30,40]"
"191",1,2500,1910,1,"female",1,25,791,NA,"Massachusetts","Native born, and both parents native born","(20,30]"
"192",1,2500,1910,1,"female",1,35,791,NA,"Massachusetts","Native born, and both parents native born","(30,40]"
"193",4,2500,1910,1,"male",1,29,708,NA,"Massachusetts","Native born, and both parents foreign","(20,30]"
"194",5,15000,1910,1,"female",1,30,999,NA,"Canada","Foreign born","(20,30]"
"195",3,2500,1910,1,"female",1,2,999,5,"Massachusetts","Native born, and mother foreign, father native","(0,10]"
"196",5,15000,1910,1,"male",1,54,604,NA,"Canada","Foreign born","(50,60]"
"197",5,15000,1910,1,"female",1,48,999,NA,"Canada","Foreign born","(40,50]"
"198",4,2500,1910,1,"female",1,25,988,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"199",5,43600,1910,1,"male",1,34,406,NA,"Portugal","Foreign born","(30,40]"
"200",5,43600,1910,1,"female",1,27,999,NA,"Portugal","Foreign born","(20,30]"
"201",4,2500,1910,1,"female",1,4,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"202",4,2500,1910,1,"female",1,3,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"203",4,2500,1910,1,"female",1,1,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"204",5,43600,1910,1,"male",1,43,602,NA,"Portugal","Foreign born","(40,50]"
"205",5,43600,1910,1,"female",1,34,154,NA,"Portugal","Foreign born","(30,40]"
"206",5,43400,1910,1,"male",1,36,726,NA,"Italy","Foreign born","(30,40]"
"207",5,43400,1910,1,"female",1,30,999,NA,"Italy","Foreign born","(20,30]"
"208",5,43400,1910,1,"male",1,29,252,NA,"Italy","Foreign born","(20,30]"
"209",5,43400,1910,1,"female",1,25,999,NA,"Italy","Foreign born","(20,30]"
"210",4,2500,1910,1,"male",1,2,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"211",4,2500,1910,1,"male",1,0,999,5,"Massachusetts","Native born, and both parents foreign",NA
"212",5,41400,1910,1,"female",1,54,999,5,"Ireland","Foreign born","(50,60]"
"213",4,2500,1910,1,"male",1,21,791,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"214",5,41400,1910,1,"female",1,94,999,NA,"Ireland","Foreign born","(90,100]"
"215",5,41400,1910,1,"female",1,38,791,5,"Ireland","Foreign born","(30,40]"
"216",5,41400,1910,1,"female",2,59,999,NA,"Ireland","Foreign born","(50,60]"
"217",3,2500,1910,1,"male",2,20,996,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"218",4,2500,1910,1,"male",2,55,148,NA,"Massachusetts","Native born, and both parents foreign","(50,60]"
"219",5,46500,1910,1,"male",1,46,763,NA,"Other USSR/Russia","Foreign born","(40,50]"
"220",5,46500,1910,1,"female",1,46,999,NA,"Other USSR/Russia","Foreign born","(40,50]"
"221",4,2500,1910,1,"male",1,24,711,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"222",4,2500,1910,1,"male",1,20,791,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"223",4,2500,1910,1,"male",1,18,791,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"224",4,2500,1910,1,"male",1,16,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"225",4,2500,1910,1,"female",1,13,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"226",4,2500,1910,1,"female",1,11,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"227",4,2500,1910,1,"male",1,10,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"228",4,2500,1910,1,"male",1,0,999,5,"Massachusetts","Native born, and both parents foreign",NA
"229",5,46500,1910,1,"male",1,42,578,NA,"Other USSR/Russia","Foreign born","(40,50]"
"230",5,46500,1910,1,"female",1,39,999,NA,"Other USSR/Russia","Foreign born","(30,40]"
"231",5,46500,1910,1,"male",1,14,999,5,"Other USSR/Russia","Foreign born","(10,20]"
"232",4,2500,1910,1,"male",1,53,152,NA,"Massachusetts","Native born, and both parents foreign","(50,60]"
"233",4,2500,1910,1,"male",1,51,436,NA,"Massachusetts","Native born, and both parents foreign","(50,60]"
"234",5,41400,1910,1,"female",1,67,999,NA,"Ireland","Foreign born","(60,70]"
"235",1,2500,1910,1,"male",3,21,348,NA,"Massachusetts","Native born, and both parents native born","(20,30]"
"236",1,2500,1910,1,"female",3,20,999,NA,"Massachusetts","Native born, and both parents native born","(10,20]"
"237",1,2500,1910,1,"female",3,0,999,1,"Massachusetts","Native born, and both parents native born",NA
"238",4,2500,1910,1,"male",3,16,791,NA,"Massachusetts","Native born, and both parents foreign","(10,20]"
"239",4,2500,1910,1,"female",3,13,999,NA,"Massachusetts","Native born, and both parents foreign","(10,20]"
"240",5,43400,1910,1,"male",3,61,791,NA,"Italy","Foreign born","(60,70]"
"241",5,43400,1910,1,"female",3,55,999,NA,"Italy","Foreign born","(50,60]"
"242",4,2500,1910,1,"male",3,27,999,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"243",4,2500,1910,1,"male",3,25,372,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"244",4,2500,1910,1,"female",3,21,999,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"245",4,2500,1910,1,"male",3,16,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"246",4,2500,1910,1,"female",3,15,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"247",4,2500,1910,1,"female",3,13,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"248",5,43400,1910,1,"female",3,23,960,NA,"Italy","Foreign born","(20,30]"
"249",5,43400,1910,1,"female",3,22,960,NA,"Italy","Foreign born","(20,30]"
"250",5,40500,1910,1,"male",1,45,164,NA,"Sweden","Foreign born","(40,50]"
"251",5,40500,1910,1,"female",1,37,999,NA,"Sweden","Foreign born","(30,40]"
"252",4,2500,1910,1,"male",1,8,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"253",4,2500,1910,1,"male",1,5,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"254",4,2500,1910,1,"male",1,1,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"255",5,40400,1910,1,"male",3,30,140,NA,"Norway","Foreign born","(20,30]"
"256",5,40400,1910,1,"female",3,23,999,NA,"Norway","Foreign born","(20,30]"
"257",4,2500,1910,1,"male",3,1,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"258",5,40400,1910,1,"male",3,21,606,NA,"Norway","Foreign born","(20,30]"
"259",5,40400,1910,1,"male",3,19,606,NA,"Norway","Foreign born","(10,20]"
"260",4,2500,1910,1,"male",2,36,612,NA,"Massachusetts","Native born, and both parents foreign","(30,40]"
"261",4,2500,1910,1,"female",2,34,999,NA,"Massachusetts","Native born, and both parents foreign","(30,40]"
"262",1,2500,1910,1,"female",2,5,999,4,"Massachusetts","Native born, and both parents native born","(0,10]"
"263",1,2500,1910,1,"male",2,3,999,4,"Massachusetts","Native born, and both parents native born","(0,10]"
"264",1,2500,1910,1,"female",2,0,999,4,"Massachusetts","Native born, and both parents native born",NA
"265",4,2500,1910,1,"male",2,32,612,NA,"Massachusetts","Native born, and both parents foreign","(30,40]"
"266",4,2500,1910,1,"male",2,27,612,NA,"Massachusetts","Native born, and both parents foreign","(20,30]"
"267",5,41400,1910,1,"male",2,75,999,NA,"Ireland","Foreign born","(70,80]"
"268",4,2500,1910,1,"female",2,37,566,NA,"Massachusetts","Native born, and both parents foreign","(30,40]"
"269",5,15000,1910,1,"male",1,22,176,NA,"Canada","Foreign born","(20,30]"
"270",5,15000,1910,1,"female",1,20,999,NA,"Canada","Foreign born","(10,20]"
"271",4,2500,1910,1,"female",1,1,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"272",5,41400,1910,1,"female",1,65,999,NA,"Ireland","Foreign born","(60,70]"
"273",4,2300,1910,1,"male",1,31,390,5,"Maine","Native born, and both parents foreign","(30,40]"
"274",4,2300,1910,1,"female",1,27,852,5,"Maine","Native born, and both parents foreign","(20,30]"
"275",4,2500,1910,1,"male",1,17,997,NA,"Massachusetts","Native born, and both parents foreign","(10,20]"
"276",5,40500,1910,1,"male",1,53,362,NA,"Sweden","Foreign born","(50,60]"
"277",5,40500,1910,1,"female",1,49,999,NA,"Sweden","Foreign born","(40,50]"
"278",1,2500,1910,1,"male",1,35,791,NA,"Massachusetts","Native born, and both parents native born","(30,40]"
"279",2,2500,1910,1,"female",1,34,999,NA,"Massachusetts","Native born, and father foreign, mother native","(30,40]"
"280",4,2500,1910,1,"male",2,54,626,NA,"Massachusetts","Native born, and both parents foreign","(50,60]"
"281",4,2500,1910,1,"female",2,54,999,NA,"Massachusetts","Native born, and both parents foreign","(50,60]"
"282",1,2500,1910,1,"female",2,29,862,4,"Massachusetts","Native born, and both parents native born","(20,30]"
"283",1,2500,1910,1,"female",2,26,862,4,"Massachusetts","Native born, and both parents native born","(20,30]"
"284",1,2500,1910,1,"female",2,24,862,4,"Massachusetts","Native born, and both parents native born","(20,30]"
